番号,年代,時代,教,入試,できごと,暗記法,暗記法
1,B.C.221,縄文・弥生,A,1,秦の始皇帝が中国統一,にぶい(221)始皇帝、秦おこす,にぶい始皇帝しんおこす
2,1世紀,縄文・弥生,A,,ローマ帝国、キリスト教の成立,ローマにいっせい(1世紀)に広まるキリスト教,ローマにいっせいに広まるキリスト教
3,57,縄文・弥生,A,5,倭の奴国王が漢の皇帝に金印をもらう,こんな(57)金印見たことない,こんなきんいん見たことない
4,239,縄文・弥生,A,5,卑弥呼が魏に使いを送る,魏にふみく(239)れた卑弥呼さん,魏にふみくれた卑弥呼さん
5,478,古墳,C,,倭武王が中国の軟調に使いを送る,しなや(478)かに外交をする大王は,しなやかに外交をする大王は
6,589,古墳,A,1,隋が中国を統一する,隋の統一、こわく(589)ない,隋の統一こわくない
7,593,飛鳥,A,2,聖徳太子が推古天皇の摂政となる,聖徳太子、コックさん(593),聖徳太子コックさん
8,603,飛鳥,D,1,冠位十二階の制,群れて見(603)上げる十二階,群れて見上げる十二階
9,604,飛鳥,B,2,十七条の憲法,ローマ字(604)で書く十七条,ローマ字で書く十七条
10,607,飛鳥,A,3,遣隋使（小野妹子）を隋につかわす,人は群れな(607)す、遣隋使,人は群れなす遣隋使
11,610,飛鳥,A,7,ムハンマドがイスラム教を開く,むっと(610)するムハンマド,むっとするムハンマド
12,618,飛鳥,A,,隋の滅亡、唐の建国,浪費や(618)めよう、唐建国,浪費やめよう唐建国
13,630,飛鳥,A,2,第一回遣唐使の派遣（犬上御田鍬）,ロミオ(630)は行くよ、遣唐使,ロミオは行くよ遣唐使
14,645,飛鳥,A,3,大化の改新、難波宮に遷都,大化の改新、むしご(645)はん,たいかの改新むしごはん
15,663,飛鳥,B,1,白村江の戦い（唐・新羅VS日本）,無論み(663)にくい朝鮮を,無論みにくい朝鮮を
16,672,飛鳥,A,2,壬申の乱（大海人皇子VS大友皇子）,ろくな二人(672)の皇位争い,ろくな二人のこういあらそい
17,676,飛鳥,A,2,新羅の朝鮮統一,ろくな論(676)なく新羅統一,ろくな論なく新羅統一
18,701,飛鳥,A,5,大宝律令,唐みたいになれい(701)と、大宝律令,唐みたいになれいとたいほう律令
19,708,飛鳥,D,3,和同開珎の発行,金持ちになれや(708)と銭つくる,かねもちになれやと銭つくる
20,710,奈良,A,3,平城京に都を移す（元明天皇）,なんと(710)立派な平城京,なんと立派な平城京
21,743,奈良,A,3,墾田永年私財法⇒荘園の開始,公地公民もうなしさ(743),こうちこうみんもうなしさ
22,743,奈良,E,2,大仏造立の詔,大仏に使って銅なしさ(743),大仏に使って銅なしさ
